Run,#Features,#NodesExplored,#TotalIterationsExecuted,#TotalNodes,Algorithm,AlgorithmSteps,Configuration,ExecutionTime,Reward,StoppingCondition,ValidConfiguration
11,61,122,122,1793,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",61,"['AllProducts', 'wheel', 'CNFModel', 'DeadFeatures', 'MiniSAT-python-sat', 'DecisionModel', 'Glucose-python-sat', 'ebnf', 'ValidProduct', 'pybind11', 'Linux', 'Glucose', 'CoreFeatures', 'AutomatedReasoning', 'pkg-resources', 'AAFMFramework', 'UVL', 'satyrn', 'PicoSAT-pycosat', 'pip', 'FeatureModel', 'pydepqbf', 'Lingeling', 'ValidModel', 'APISolvers', 'python-sat', 'Operations', 'lark-parser', 'MiniSAT-satispy', 'SimpleParse', 'System', 'PicoSAT-pyPicosat', 'Lingeling-python-sat', 'pipdeptree', 'ParserTechnology', 'Lingeling-satispy', 'pyglucose', 'umo', 'six', 'PicoSAT', 'MiniSAT-umo', 'DepMng', 'Packages', 'FeatureIDE', 'pycosat', 'Lingeling-pylgl', 'Metamodels', 'ErrorDiagnosis', 'pylgl', 'antlr4-python3-runtime', 'pyPicosat', 'pycryptosat', 'Utils', 'Solvers', 'Interoperability', 'Glucose-pyglucose', 'MiniSAT', 'setuptools', 'satispy', 'ValidConfiguration', 'ErrorDetection']",0.7366397380828857,4,1,True
12,62,123,124,1772,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",62,"['lark-parser', 'PicoSAT', 'MiniSAT', 'pip', 'Metamodels', 'AAFMFramework', 'System', 'Win', 'six', 'DepMng', 'AutomatedReasoning', 'AllProducts', 'Packages', 'pyPicosat', 'setuptools', 'CNFModel', 'DecisionModel', 'satispy', 'ErrorDiagnosis', 'pycosat', 'Glucose-python-sat', 'ParserTechnology', 'ValidConfiguration', 'python-sat', 'Operations', 'PicoSAT-pycosat', 'ErrorDetection', 'APISolvers', 'Glucose-pyglucose', 'antlr4-python3-runtime', 'pkg-resources', 'pydepqbf', 'ValidProduct', 'SPLOT', 'wheel', 'umo', 'MiniSAT-umo', 'FeatureModel', 'Glucose', 'MiniSAT-python-sat', 'pylgl', 'ebnf', 'Lingeling-python-sat', 'pyglucose', 'ValidModel', 'pycryptosat', 'FeatureIDE', 'UVL', 'Lingeling-pylgl', 'pybind11', 'CoreFeatures', 'SimpleParse', 'PicoSAT-pyPicosat', 'DeadFeatures', 'pipdeptree', 'Utils', 'Solvers', 'Lingeling-satispy', 'Lingeling', 'satyrn', 'Interoperability', 'MiniSAT-satispy']",0.7724215984344482,-1,1,False
13,60,120,120,1650,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",60,"['SimpleParse', 'ValidConfiguration', 'wheel', 'System', 'pycryptosat', 'pycosat', 'pydepqbf', 'AutomatedReasoning', 'ebnf', 'PicoSAT', 'satispy', 'Utils', 'MiniSAT-umo', 'MiniSAT-python-sat', 'Interoperability', 'UVL', 'antlr4-python3-runtime', 'ValidModel', 'DeadFeatures', 'Operations', 'MiniSAT', 'CNFModel', 'setuptools', 'Linux', 'AllProducts', 'CoreFeatures', 'DecisionModel', 'PicoSAT-pycosat', 'Glucose-pyglucose', 'Packages', 'Solvers', 'pylgl', 'pkg-resources', 'Metamodels', 'pyglucose', 'SPLOT', 'AAFMFramework', 'FeatureIDE', 'pipdeptree', 'pip', 'lark-parser', 'ValidProduct', 'Lingeling-python-sat', 'pyPicosat', 'Lingeling-satispy', 'pybind11', 'umo', 'Glucose', 'ParserTechnology', 'DepMng', 'ErrorDetection', 'six', 'FeatureModel', 'APISolvers', 'satyrn', 'MiniSAT-satispy', 'python-sat', 'Glucose-python-sat', 'ErrorDiagnosis', 'Lingeling']",0.6854996681213379,6,1,True
14,58,116,116,2365,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",58,"['Lingeling-python-sat', 'Utils', 'ValidModel', 'SimpleParse', 'Packages', 'Glucose-pyglucose', 'Lingeling-pylgl', 'APISolvers', 'MiniSAT', 'pyglucose', 'Operations', 'PicoSAT-pycosat', 'UVL', 'AAFMFramework', 'setuptools', 'pycosat', 'MiniSAT-umo', 'Lingeling', 'DecisionModel', 'python-sat', 'Linux', 'CoreFeatures', 'AutomatedReasoning', 'DepMng', 'pycryptosat', 'Metamodels', 'ValidConfiguration', 'ParserTechnology', 'SPLOT', 'MiniSAT-satispy', 'pyPicosat', 'MiniSAT-python-sat', 'PicoSAT', 'pylgl', 'ErrorDiagnosis', 'DeadFeatures', 'pip', 'CNFModel', 'umo', 'pydepqbf', 'wheel', 'Glucose', 'Solvers', 'pybind11', 'pkg-resources', 'AllProducts', 'satispy', 'Lingeling-satispy', 'System', 'PicoSAT-pyPicosat', 'Glucose-python-sat', 'ValidProduct', 'Interoperability', 'FeatureModel', 'six', 'ErrorDetection', 'lark-parser', 'satyrn']",0.7767174243927002,5,1,True
15,62,123,124,2523,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",62,"['pydepqbf', 'MiniSAT-umo', 'MiniSAT', 'pylgl', 'FeatureModel', 'antlr4-python3-runtime', 'PicoSAT-pyPicosat', 'umo', 'pycosat', 'ErrorDiagnosis', 'FeatureIDE', 'Packages', 'SimpleParse', 'MiniSAT-python-sat', 'pyglucose', 'PicoSAT', 'ErrorDetection', 'UVL', 'pkg-resources', 'Solvers', 'Metamodels', 'MiniSAT-satispy', 'ValidProduct', 'lark-parser', 'AutomatedReasoning', 'pyPicosat', 'Utils', 'satyrn', 'wheel', 'pybind11', 'ValidModel', 'AAFMFramework', 'pipdeptree', 'Lingeling-python-sat', 'Glucose-python-sat', 'DecisionModel', 'ParserTechnology', 'Lingeling-satispy', 'PicoSAT-pycosat', 'APISolvers', 'Lingeling', 'AllProducts', 'ValidConfiguration', 'System', 'CNFModel', 'satispy', 'SPLOT', 'Glucose', 'DepMng', 'Win', 'pip', 'python-sat', 'CoreFeatures', 'Operations', 'pycryptosat', 'ebnf', 'Lingeling-pylgl', 'setuptools', 'Glucose-pyglucose', 'Interoperability', 'DeadFeatures', 'six']",0.8204927444458008,-1,1,False
16,60,120,120,1904,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",60,"['FeatureIDE', 'Lingeling-satispy', 'PicoSAT-pyPicosat', 'Utils', 'UVL', 'DeadFeatures', 'SPLOT', 'MiniSAT-satispy', 'Glucose-pyglucose', 'ValidProduct', 'DecisionModel', 'Glucose-python-sat', 'pyPicosat', 'pkg-resources', 'pydepqbf', 'Operations', 'MiniSAT-umo', 'Lingeling-python-sat', 'AllProducts', 'ErrorDetection', 'wheel', 'CNFModel', 'MiniSAT-python-sat', 'Interoperability', 'pylgl', 'ErrorDiagnosis', 'ValidModel', 'AutomatedReasoning', 'AAFMFramework', 'six', 'Lingeling', 'Lingeling-pylgl', 'umo', 'pycosat', 'ebnf', 'DepMng', 'FeatureModel', 'satispy', 'ValidConfiguration', 'PicoSAT', 'MiniSAT', 'setuptools', 'python-sat', 'pyglucose', 'ParserTechnology', 'Packages', 'Glucose', 'pipdeptree', 'pybind11', 'pip', 'Metamodels', 'Solvers', 'SimpleParse', 'lark-parser', 'CoreFeatures', 'APISolvers', 'antlr4-python3-runtime', 'System', 'PicoSAT-pycosat', 'Linux']",0.7597436904907227,6,1,True
17,61,122,122,2276,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",61,"['MiniSAT', 'Glucose-python-sat', 'antlr4-python3-runtime', 'PicoSAT', 'python-sat', 'Glucose', 'Interoperability', 'satyrn', 'ErrorDetection', 'satispy', 'DecisionModel', 'System', 'APISolvers', 'Lingeling-pylgl', 'Solvers', 'Linux', 'MiniSAT-python-sat', 'ParserTechnology', 'SPLOT', 'ValidConfiguration', 'Lingeling', 'Operations', 'setuptools', 'pycryptosat', 'pip', 'UVL', 'Glucose-pyglucose', 'FeatureIDE', 'AAFMFramework', 'SimpleParse', 'PicoSAT-pyPicosat', 'ebnf', 'wheel', 'AutomatedReasoning', 'MiniSAT-umo', 'Lingeling-satispy', 'Utils', 'pkg-resources', 'DepMng', 'ErrorDiagnosis', 'ValidProduct', 'FeatureModel', 'AllProducts', 'pyglucose', 'Lingeling-python-sat', 'Metamodels', 'CoreFeatures', 'six', 'Packages', 'DeadFeatures', 'pyPicosat', 'lark-parser', 'pydepqbf', 'pybind11', 'pylgl', 'pycosat', 'CNFModel', 'ValidModel', 'MiniSAT-satispy', 'umo', 'PicoSAT-pycosat']",0.7881059646606445,4,1,True
18,57,114,114,1575,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",57,"['Glucose-pyglucose', 'MiniSAT-satispy', 'Operations', 'SimpleParse', 'ebnf', 'ErrorDetection', 'Utils', 'satispy', 'pyglucose', 'Glucose', 'antlr4-python3-runtime', 'System', 'ValidModel', 'setuptools', 'UVL', 'Linux', 'python-sat', 'PicoSAT', 'ParserTechnology', 'APISolvers', 'Lingeling-pylgl', 'ErrorDiagnosis', 'SPLOT', 'AAFMFramework', 'six', 'MiniSAT', 'PicoSAT-pyPicosat', 'Metamodels', 'pycosat', 'wheel', 'MiniSAT-python-sat', 'pybind11', 'Glucose-python-sat', 'Interoperability', 'AutomatedReasoning', 'PicoSAT-pycosat', 'pyPicosat', 'DecisionModel', 'pip', 'ValidProduct', 'FeatureModel', 'umo', 'AllProducts', 'Packages', 'pkg-resources', 'DepMng', 'FeatureIDE', 'pipdeptree', 'CNFModel', 'MiniSAT-umo', 'CoreFeatures', 'Lingeling-satispy', 'Lingeling-python-sat', 'Lingeling', 'Solvers', 'pylgl', 'lark-parser']",0.7075634002685547,12,1,True
19,62,123,124,1779,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",62,"['python-sat', 'MiniSAT', 'MiniSAT-python-sat', 'Metamodels', 'Lingeling-python-sat', 'System', 'DecisionModel', 'ErrorDiagnosis', 'Glucose-python-sat', 'pybind11', 'Lingeling-satispy', 'Solvers', 'pip', 'Operations', 'Packages', 'PicoSAT-pycosat', 'SimpleParse', 'MiniSAT-satispy', 'Interoperability', 'pipdeptree', 'FeatureModel', 'AutomatedReasoning', 'pyglucose', 'SPLOT', 'pydepqbf', 'satispy', 'pkg-resources', 'CNFModel', 'wheel', 'umo', 'ValidModel', 'AllProducts', 'pylgl', 'FeatureIDE', 'Linux', 'APISolvers', 'PicoSAT', 'MiniSAT-umo', 'Lingeling', 'lark-parser', 'Utils', 'ebnf', 'DepMng', 'Lingeling-pylgl', 'ValidConfiguration', 'pycosat', 'pycryptosat', 'UVL', 'AAFMFramework', 'ValidProduct', 'CoreFeatures', 'pyPicosat', 'antlr4-python3-runtime', 'DeadFeatures', 'ParserTechnology', 'setuptools', 'Glucose-pyglucose', 'Glucose', 'satyrn', 'six', 'ErrorDetection', 'PicoSAT-pyPicosat']",0.7711915969848633,2,1,True
20,58,116,116,1959,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",58,"['pycosat', 'Utils', 'FeatureModel', 'Glucose', 'ebnf', 'DepMng', 'pkg-resources', 'AutomatedReasoning', 'Glucose-python-sat', 'setuptools', 'Interoperability', 'python-sat', 'SPLOT', 'pip', 'MiniSAT', 'antlr4-python3-runtime', 'pipdeptree', 'Metamodels', 'wheel', 'ValidModel', 'Packages', 'AllProducts', 'PicoSAT', 'ParserTechnology', 'six', 'Lingeling-satispy', 'System', 'SimpleParse', 'lark-parser', 'DeadFeatures', 'pyPicosat', 'MiniSAT-python-sat', 'Operations', 'APISolvers', 'PicoSAT-pycosat', 'ErrorDetection', 'Linux', 'ValidConfiguration', 'PicoSAT-pyPicosat', 'umo', 'MiniSAT-satispy', 'DecisionModel', 'AAFMFramework', 'ErrorDiagnosis', 'ValidProduct', 'pybind11', 'pylgl', 'Lingeling-pylgl', 'UVL', 'Lingeling-python-sat', 'MiniSAT-umo', 'pyglucose', 'satispy', 'Solvers', 'CNFModel', 'Lingeling', 'FeatureIDE', 'Glucose-pyglucose']",0.7668845653533936,10,1,True
21,53,106,106,1750,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",53,"['python-sat', 'pipdeptree', 'antlr4-python3-runtime', 'AutomatedReasoning', 'pylgl', 'DeadFeatures', 'Solvers', 'Linux', 'DepMng', 'Packages', 'MiniSAT-satispy', 'Operations', 'SimpleParse', 'lark-parser', 'Lingeling-python-sat', 'ErrorDiagnosis', 'ParserTechnology', 'DecisionModel', 'PicoSAT', 'Utils', 'AAFMFramework', 'MiniSAT-umo', 'ValidConfiguration', 'pydepqbf', 'setuptools', 'Metamodels', 'pkg-resources', 'pyglucose', 'Glucose-pyglucose', 'Glucose', 'satispy', 'umo', 'six', 'MiniSAT', 'Lingeling', 'CNFModel', 'PicoSAT-pyPicosat', 'pyPicosat', 'FeatureIDE', 'MiniSAT-python-sat', 'FeatureModel', 'APISolvers', 'Lingeling-satispy', 'pycosat', 'ebnf', 'UVL', 'Interoperability', 'System', 'pybind11', 'SPLOT', 'Lingeling-pylgl', 'PicoSAT-pycosat', 'pip']",0.7101936340332031,20,1,True
22,59,118,118,1698,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",59,"['Lingeling', 'ebnf', 'APISolvers', 'Glucose', 'AllProducts', 'FeatureIDE', 'CNFModel', 'pip', 'Utils', 'ValidConfiguration', 'MiniSAT-umo', 'System', 'PicoSAT', 'pydepqbf', 'Lingeling-python-sat', 'AutomatedReasoning', 'Linux', 'DeadFeatures', 'Solvers', 'Packages', 'Operations', 'lark-parser', 'pylgl', 'ErrorDetection', 'six', 'Glucose-pyglucose', 'SimpleParse', 'pyglucose', 'CoreFeatures', 'python-sat', 'Lingeling-satispy', 'PicoSAT-pyPicosat', 'pycryptosat', 'umo', 'setuptools', 'Interoperability', 'ValidProduct', 'PicoSAT-pycosat', 'antlr4-python3-runtime', 'SPLOT', 'MiniSAT-satispy', 'ErrorDiagnosis', 'MiniSAT-python-sat', 'pybind11', 'Glucose-python-sat', 'pycosat', 'satispy', 'AAFMFramework', 'Lingeling-pylgl', 'MiniSAT', 'wheel', 'ParserTechnology', 'DepMng', 'pyPicosat', 'pkg-resources', 'Metamodels', 'UVL', 'satyrn', 'ValidModel']",0.6971561908721924,8,1,True
23,54,108,108,1177,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",54,"['PicoSAT', 'AAFMFramework', 'Utils', 'CNFModel', 'pybind11', 'six', 'Glucose', 'python-sat', 'MiniSAT-python-sat', 'pyPicosat', 'wheel', 'DepMng', 'SPLOT', 'UVL', 'FeatureModel', 'ParserTechnology', 'Interoperability', 'umo', 'DecisionModel', 'pkg-resources', 'satyrn', 'SimpleParse', 'setuptools', 'MiniSAT-satispy', 'PicoSAT-pycosat', 'System', 'ErrorDetection', 'pycosat', 'pyglucose', 'pipdeptree', 'ValidModel', 'Glucose-pyglucose', 'antlr4-python3-runtime', 'APISolvers', 'ValidConfiguration', 'AutomatedReasoning', 'pip', 'Solvers', 'Operations', 'FeatureIDE', 'pylgl', 'satispy', 'MiniSAT-umo', 'pydepqbf', 'pycryptosat', 'ValidProduct', 'Packages', 'ebnf', 'MiniSAT', 'lark-parser', 'DeadFeatures', 'ErrorDiagnosis', 'Linux', 'Metamodels']",0.5712637901306152,18,1,True
24,62,122,124,2439,"UCT MCTS [AlgSC=is_terminal] (sc:iters=1, ew=0.5)",62,"['Interoperability', 'ErrorDetection', 'pip', 'pipdeptree', 'Utils', 'Operations', 'MiniSAT-python-sat', 'pycosat', 'Lingeling-pylgl', 'CoreFeatures', 'ValidProduct', 'pyglucose', 'pylgl', 'Glucose-pyglucose', 'MiniSAT-umo', 'CNFModel', 'ErrorDiagnosis', 'APISolvers', 'setuptools', 'six', 'wheel', 'DecisionModel', 'MiniSAT', 'Metamodels', 'antlr4-python3-runtime', 'Lingeling-satispy', 'AllProducts', 'satyrn', 'pkg-resources', 'Glucose-python-sat', 'umo', 'satispy', 'python-sat', 'lark-parser', 'Lingeling-python-sat', 'UVL', 'ebnf', 'pyPicosat', 'Lingeling', 'AutomatedReasoning', 'System', 'Solvers', 'PicoSAT-pyPicosat', 'PicoSAT-pycosat', 'DepMng', 'ParserTechnology', 'AAFMFramework', 'Win', 'ValidConfiguration', 'Packages', 'pycryptosat', 'pydepqbf', 'SimpleParse', 'SPLOT', 'MiniSAT-satispy', 'PicoSAT', 'FeatureModel', 'Glucose', 'DeadFeatures', 'ValidModel', 'FeatureIDE', 'pybind11']",0.8115875720977783,-1,1,False
